"","PWGTP","AGEP","PUMA","ENG_label","LANP_label"
"9422",22,36,"00200","Very well","Hawaiian"
"9423",18,83,"00100","Not well","Ilocano"
"9424",8,74,"00307","Very well","Filipino"
"9425",8,73,"00307","Very well","Filipino"
"9426",10,45,"00307","Very well","Filipino"
"9427",11,27,"00307","Well","Filipino"
"9428",28,51,"00200","Very well","Other English-based Creole languages"
"9429",18,47,"00200","Very well","Other English-based Creole languages"
"9430",20,24,"00200","Very well","Other English-based Creole languages"
"9431",17,17,"00200","Very well","Other English-based Creole languages"
"9432",32,66,"00306","Well","Korean"
"9433",30,60,"00306","Not well","Korean"
"9434",8,66,"00306","Very well","Japanese"
"9435",9,67,"00306","Very well","Japanese"
"9436",15,31,"00306","Very well","Japanese"
"9437",62,35,"00304","Well","Telugu"
"9438",139,32,"00304","Well","Telugu"
"9439",64,38,"00306","Very well","Hawaiian"
"9440",59,38,"00306","Very well","Chinese"
"9441",9,50,"00304","Well","Japanese"
"9442",80,51,"00100","Well","Ilocano"
"9443",67,57,"00100","Well","Tagalog"
"9444",102,23,"00100","Very well","Tagalog"
"9445",80,89,"00100","Not well","Ilocano"
"9446",15,59,"00308","Very well","Filipino"
"9447",32,36,"00307","Very well","Filipino"
"9448",31,35,"00307","Well","Filipino"
"9449",34,44,"00307","Not well","Filipino"
"9450",32,79,"00307","Well","Filipino"
"9451",32,75,"00307","Very well","Filipino"
"9452",31,48,"00307","Well","Filipino"
"9453",32,23,"00307","Well","Filipino"
"9454",34,8,"00307","Very well","Filipino"
"9455",28,65,"00307","Well","Ilocano"
"9456",30,65,"00308","Very well","Tagalog"
"9457",29,65,"00308","Very well","Tagalog"
"9458",19,50,"00303","Very well","Samoan"
